Participant_Num,Stimulus,Predicted_Mean,Observed_Mean
1,CS+,8.240492052379933,8.222222222222221
1,S2,3.711515353218569,3.75
1,S3,2.4954043818399736,2.3333333333333335
1,S4,2.204884784898718,2.0
1,S5,2.112005695375552,1.75
1,S6,2.0459483268600946,1.9166666666666667
1,S7,1.944148950227094,1.5833333333333333
1,S8,1.7218736772308352,1.5833333333333333
1,S9,1.304534331042255,1.5
1,CS-,1.0156572863529734,1.5
2,CS+,6.870869057330181,7.083333333333333
2,S2,5.224636653774313,5.416666666666667
2,S3,4.401717407553666,3.5
2,S4,3.569067806596255,3.4166666666666665
2,S5,2.938788967490726,2.5833333333333335
2,S6,2.456302480689109,2.3333333333333335
2,S7,1.9913419599866926,1.6666666666666667
2,S8,1.7236602715706437,1.5833333333333333
2,S9,1.509468458748541,1.75
2,CS-,1.2906436235324652,1.5416666666666667
3,CS+,5.2405004422665815,5.5
3,S2,4.645360118713924,4.75
3,S3,4.573381638101122,4.75
3,S4,3.9314245626529405,3.6666666666666665
3,S5,4.027528560141382,4.333333333333333
3,S6,3.7319856361885857,4.666666666666667
3,S7,3.3545232340065225,3.1666666666666665
3,S8,3.265488408853576,3.6666666666666665
3,S9,3.1845306256101615,3.8333333333333335
3,CS-,3.1095610572088157,3.7916666666666665
4,CS+,7.123856169510066,6.805555555555555
4,S2,5.744535198155208,6.083333333333333
4,S3,4.010556513894314,3.9166666666666665
4,S4,2.7310126552286333,2.1666666666666665
4,S5,2.0332620887442343,1.3333333333333333
4,S6,1.6101743102762758,1.6666666666666667
4,S7,1.308684793155037,1.75
4,S8,1.1447853191223858,1.25
4,S9,1.063082611603828,1.0
4,CS-,1.022373425097907,1.0
5,CS+,7.5870583390391975,7.305555555555555
5,S2,6.209659854516552,6.333333333333333
5,S3,4.399377939832299,3.75
5,S4,4.018595944432396,4.583333333333333
5,S5,2.6691398643741113,2.5833333333333335
5,S6,2.033385541783285,1.6666666666666667
5,S7,1.4776408772066114,1.0833333333333333
5,S8,1.2459769074632305,1.1666666666666667
5,S9,1.1238431353584393,1.0833333333333333
5,CS-,1.0716701296381692,1.0416666666666667
6,CS+,6.463530771030902,6.333333333333333
6,S2,5.830792634001331,5.833333333333333
6,S3,5.65293546283617,5.5
6,S4,5.600720078470754,5.833333333333333
6,S5,5.574565449837279,6.083333333333333
6,S6,5.5543570768494215,6.25
6,S7,5.53147340995438,6.0
6,S8,5.461638831774235,6.0
6,S9,5.235263635047646,5.083333333333333
6,CS-,4.416705102323372,4.458333333333333
7,CS+,8.504920999928155,8.514285714285714
7,S2,8.434587910802822,9.083333333333334
7,S3,8.365779252570256,9.5
7,S4,8.391052954154897,8.416666666666666
7,S5,8.246489667940496,8.833333333333334
7,S6,8.100791990343222,8.25
7,S7,8.26297123709764,8.75
7,S8,8.083142331032773,9.25
7,S9,8.194267157430232,9.0
7,CS-,8.07209095313136,9.125
8,CS+,7.585955508499276,7.611111111111111
8,S2,5.318822064695216,4.333333333333333
8,S3,3.300611428307957,4.5
8,S4,2.0392278133131256,1.5
8,S5,1.3702527243054365,2.0833333333333335
8,S6,1.075537651913896,1.0909090909090908
8,S7,1.053351522078909,1.0833333333333333
8,S8,1.0103715354239515,1.0
8,S9,0.9972728064008288,1.0
8,CS-,1.002190188652502,1.0
9,CS+,9.8999369510431,9.666666666666666
9,S2,7.532187802611087,7.75
9,S3,3.3006948815948696,3.4166666666666665
9,S4,2.0331433391059797,1.0833333333333333
9,S5,1.6529206541928492,1.0833333333333333
9,S6,1.4477411451421112,1.0
9,S7,1.2710360785026547,1.0
9,S8,1.1038307712742745,1.0
9,S9,1.0096082885845317,1.0
9,CS-,0.9979611725738539,1.0
10,CS+,3.8806042019416416,8.805555555555555
10,S2,3.2005829743127396,7.0
10,S3,2.3465847502938004,1.8181818181818181
10,S4,1.667905162313612,1.75
10,S5,1.2914596995592054,1.5833333333333333
10,S6,1.1123310769511658,1.0833333333333333
10,S7,1.0321872651455217,1.4166666666666667
10,S8,1.0129576453349165,1.0833333333333333
10,S9,1.0063488034198378,1.0
10,CS-,1.0046416694078593,1.0
11,CS+,8.416457629427619,8.472222222222221
11,S2,3.6431775231118286,3.5
11,S3,2.6946233455228863,3.5833333333333335
11,S4,2.5046941539231176,2.1666666666666665
11,S5,2.4454648151396388,2.6666666666666665
11,S6,2.4095331242625466,1.9166666666666667
11,S7,2.352774271533229,1.5833333333333333
11,S8,2.1682860936105652,1.9166666666666667
11,S9,1.6490832767065051,1.4166666666666667
11,CS-,1.044227558204519,1.75
12,CS+,8.277059654687575,8.194444444444445
12,S2,5.658367281115365,5.5
12,S3,3.9093347051280776,4.416666666666667
12,S4,3.061574478621522,2.5
12,S5,2.5810059309634936,1.6666666666666667
12,S6,2.2293064537226677,1.9166666666666667
12,S7,1.9157857504282267,1.1666666666666667
12,S8,1.5571607456027259,1.0833333333333333
12,S9,1.230374767485633,1.0
12,CS-,1.0421848247288694,1.0
13,CS+,4.273045614463514,5.055555555555555
13,S2,3.8400116262224686,3.0833333333333335
13,S3,3.680308745996911,2.0833333333333335
13,S4,3.18681278477454,2.5
13,S5,2.5897774414649875,2.0833333333333335
13,S6,2.6262425967451892,2.3333333333333335
13,S7,2.2468961499378586,1.3333333333333333
13,S8,2.119845199412763,2.5
13,S9,1.9731906248946527,1.9166666666666667
13,CS-,1.5808538195743154,2.0
14,CS+,6.7719563447805,7.0
14,S2,6.120096478870452,6.666666666666667
14,S3,5.639944378355168,4.916666666666667
14,S4,5.204166008635403,4.25
14,S5,4.807231559330791,4.166666666666667
14,S6,4.399153340828791,4.0
14,S7,3.9989855341572365,4.0
14,S8,3.5737697066879375,3.4166666666666665
14,S9,3.1854903969419035,3.3333333333333335
14,CS-,2.788998099345627,3.0416666666666665
15,CS+,6.8884383383638434,7.0
15,S2,6.708002003217733,6.5
15,S3,6.623386723412765,6.416666666666667
15,S4,6.5965520439859615,7.166666666666667
15,S5,6.518062536337048,6.583333333333333
15,S6,6.456938708831227,6.166666666666667
15,S7,6.394103611784327,6.833333333333333
15,S8,6.333365663545954,6.25
15,S9,6.239062741942584,5.75
15,CS-,6.032999850242478,5.75
