participant,lg2d,lgphy
1,0.0,0.0
2,0.0,0.15548950347076712
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.14271751352424772
10,0.0,0.0
11,0.0,0.0993373822365559
12,0.0,0.0
13,0.0,0.06638887269146859
14,0.0,0.0
15,0.0,0.0
16,0.0,0.2253072305814048
17,0.0,0.0
18,0.0,0.0
19,0.0,0.1574860242953942
20,0.0,0.0
21,0.0,0.1768396186956402
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.11626672176032826
26,0.0,0.14853881793903445
27,0.0,0.1322544003020796
28,0.0,0.04064212683927921
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.10834822507461254
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.12535611218148554
39,0.0,0.0
40,0.0,0.0
41,0.0,0.18712998506814607
42,0.0,0.0
43,0.0,0.05994504744493319
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.10945262557360486
48,0.0,0.0
49,0.0,0.0
50,0.0,0.10674525862374468
51,0.31149955722930034,0.3168478123722215
52,0.23609709994996955,0.17467251465679606
53,0.18610780667723903,0.12002051741865818
54,0.5188299099504973,0.521525860350357
55,0.25518914099618917,0.2898578599636348
56,0.12458584563964224,0.1255035674299464
57,0.29953364097093316,0.29655125539920635
58,0.15672180005135283,0.11573159796088653
59,0.24054971007159845,0.2424680727127382
60,0.5586828940146602,0.5559776086934717
61,0.2749469297609739,0.28709157304351224
62,0.2568624586776883,0.25380308819010544
63,0.31660984425785943,0.3259006910831047
64,0.06875915914950106,0.01730743842762186
65,0.22084807464772288,0.22301339371172246
66,0.6674609702421844,0.6640907480891316
67,0.21646914923976976,0.14969410506856273
68,0.22361618347743983,0.17619503493332955
69,0.26504735230519344,0.26475998818143553
70,0.14887268414361987,0.1658118791520682
71,0.11139590138144631,0.1118799788131162
72,0.25742726372381486,0.2593751212817005
73,0.32690721200587647,0.3330634350610261
74,0.42708458436061714,0.43059457162805514
75,0.7146429422565227,0.6957472496735644
76,0.7694983734920604,0.755606051560102
77,0.34796800291095226,0.35374557497983816
78,0.04723274516557702,0.048548212929030346
79,0.16664488112533649,0.12745680716552668
80,0.357906613894936,0.3683859824508874
81,0.46169322579296124,0.46714982528101245
82,0.306396037110912,0.31058652912726026
83,0.22947332983500907,0.18831006914930382
84,0.168495552044955,0.16119991969546002
85,0.21380249161071474,0.21446058589424233
86,0.24845634391545168,0.2520552049438207
87,0.2337355513279481,0.23575615226906546
88,0.1191676256991003,0.1169341803532525
89,0.2174498207734591,0.1911920723523281
90,0.21836638921958937,0.21907847137730513
91,0.16603293836769462,0.16221902067096233
92,0.4727869777260516,0.48138801356372174
93,0.4550696010540329,0.46235080251115834
94,0.19787647837864608,0.17301384651311805
95,0.22255444589903442,0.17605696839232488
96,0.16333598168082336,0.1611657199169073
97,0.1920360749422091,0.20584019934988695
98,0.3966037867288206,0.3997448492942708
99,0.11622976616927846,0.1167450969727141
100,0.19403527918045843,0.20289112372183557
101,0.16471026842567707,0.16513494561470907
102,0.32611558606857227,0.32544030596750617
103,0.32450178946139085,0.3235607543579231
104,0.26220317317549247,0.26294936306603434
105,0.2608145706350604,0.2614516779257897
106,0.3156176265273073,0.31510256070162423
107,0.32677694526283096,0.32732627079218407
108,0.3135805929019275,0.31322868129571135
109,0.3784644579457881,0.37186729230589244
110,0.22350455669809538,0.22761299913066402
111,0.3344962623067559,0.3342158940775233
112,0.3269160966625449,0.32645464204848673
113,0.00878572288094518,0.02236405020196333
114,0.04771977033581898,0.0483246107593606
115,0.04656465493382392,0.04808103975603466
116,0.13740344810097316,0.1382919794747275
117,0.20675054873910859,0.22332269539744853
118,0.2723388018243379,0.29086235540312033
119,0.3561575571098507,0.35372994766491406
120,0.3242864443065502,0.32384544539441323
121,0.3195080913120564,0.31795794074044653
122,0.04767901094613257,0.04753803428447172
123,0.1724877732902828,0.17570677403766805
124,0.30611710300264516,0.3049539970840893
125,0.2234340795664384,0.22371715609094725
126,0.33226398246339583,0.33142428590311074
127,0.24526382861758594,0.24703452030623113
128,0.23478695866647242,0.2393073532716341
129,0.16830099184437677,0.16973612578758906
130,0.3047497007309472,0.3041586647575455
131,0.10846978226497972,0.11319019065437366
132,0.32445925706958934,0.32360148853659876
133,0.2887521809931316,0.2901675427116031
134,0.2813951421187132,0.28093065189207134
135,0.12104137526536451,0.12277705790067986
136,0.34365715260841323,0.34317874663516457
137,0.32046842848404344,0.319577382924653
138,0.15449382323390887,0.15811640104594843
139,0.2109907952283097,0.2124166043752302
140,0.31713262299937084,0.31730372768418397
141,0.24937934077838522,0.25042326701253936
142,0.3302170219690281,0.33309719868662063
143,0.1462297755421388,0.15355222961460419
144,0.34606542440932786,0.34932613282525427
145,0.11886311264944041,0.1202447409282244
146,0.30389009026911734,0.304691891009878
147,0.3854494727123489,0.3820631054998106
148,0.27043339000993377,0.27161001404312546
149,0.3284228376592633,0.32697081806476364
150,0.17959163352530427,0.17980380229093892
151,0.11983580566863697,0.14601996661184785
152,0.38980715460168824,0.26416728415058577
153,0.1679377496158445,0.15226993836621144
154,0.42010905797247045,0.26415899723740677
155,0.12073875515316526,0.0781397600942215
156,0.4076687630858967,0.3568736285251223
157,0.20282042799533903,0.20230712748255514
158,0.1444817199992317,0.2135050687074872
159,0.381188675154807,0.1840879572844199
160,0.09434263678180758,0.18893354151004776
161,0.2636109573935228,0.2831932046987631
