Participant_Num,Stimulus,Predicted_Mean,Observed_Mean
1,S4,5.348534127717285,5.375
1,S5,5.35022123089936,5.5
1,S6,5.3574126283676495,5.375
1,CS+,5.3735321298211876,5.384615384615385
1,S8,5.36124411839198,4.9375
1,S9,5.351500444328771,5.6875
1,S10,5.351345011287307,4.9375
2,S4,2.3692910056012364,1.4375
2,S5,2.4512756881450226,1.625
2,S6,2.841371159807467,3.0
2,CS+,6.073440214364506,6.0
2,S8,2.8783737751405987,3.466666666666667
2,S9,2.452460195572271,2.25
2,S10,2.3697952897523855,1.8125
3,S4,5.032213024180643,4.125
3,S5,5.0407600399064405,5.875
3,S6,5.045735662831912,5.4375
3,CS+,5.061104698622102,4.8076923076923075
3,S8,5.041572722960218,5.9375
3,S9,5.038013422251053,4.1875
3,S10,5.032655964298886,5.75
4,S4,3.565210747056261,2.5625
4,S5,3.897215387112694,2.625
4,S6,4.709828416093783,6.0
4,CS+,6.893802193756535,6.705128205128205
4,S8,4.7010522209897685,5.3125
4,S9,3.8606692624459296,3.8125
4,S10,3.560141927126913,3.1875
5,S4,5.225608898233587,6.6875
5,S5,5.651923277156521,7.1875
5,S6,6.33713234243765,7.125
5,CS+,7.451921200456283,7.1923076923076925
5,S8,6.381242902022602,7.3125
5,S9,5.664073681185288,3.4375
5,S10,5.229165774375413,3.875
6,S4,6.300301201015902,6.0625
6,S5,6.297936009436546,5.8125
6,S6,6.298144973806267,6.625
6,CS+,6.311723968154358,6.259740259740259
6,S8,6.30404650061071,5.6875
6,S9,6.2937750875181955,7.1875
6,S10,6.29201289304101,6.0625
7,S4,2.4643162035668786,1.4375
7,S5,2.7386127201007215,1.9375
7,S6,3.6316210817054895,4.5
7,CS+,6.641804561650555,6.551282051282051
7,S8,3.593808423804237,4.6875
7,S9,2.755920243371564,2.25
7,S10,2.4609811933375263,2.5625
8,S4,6.026465984918888,6.3125
8,S5,6.025845645232586,5.75
8,S6,6.033840044385915,5.933333333333334
8,CS+,6.046666228845897,6.038461538461538
